,x_pos,y_pos,x_val,y_val,id
0,0,0,9.0,0.901795224638024,0
1,0,0,10.0,0.8773489217367947,0
2,0,0,11.0,0.8499616397734431,0
3,0,0,12.0,0.8201034274750936,0
4,0,0,13.0,0.7884254241066058,0
5,0,0,14.0,0.7557191603736328,0
6,0,0,15.0,0.7228579765110157,0
7,0,0,16.0,0.6907276888545553,0
8,0,0,17.0,0.6601555968480244,0
9,0,0,18.0,0.631847228742434,0
10,0,0,19.0,0.6063388041572608,0
11,0,0,20.0,0.5839705772875585,0
12,0,0,21.0,0.5648826580009232,0
13,0,0,22.0,0.5490313640939842,0
14,0,1,9.0,0.9006743069637382,5
15,0,1,10.0,0.8891718574784886,5
16,0,1,11.0,0.8769438224874393,5
17,0,1,12.0,0.8640269810219492,5
18,0,1,13.0,0.8504691784881295,5
19,0,1,14.0,0.8363289770099068,5
20,0,1,15.0,0.8216750100005603,5
21,0,1,16.0,0.8065850482175596,5
22,0,1,17.0,0.7911447960512872,5
23,0,1,18.0,0.7754464479021488,5
24,0,1,19.0,0.7595870446275643,5
25,0,1,20.0,0.7436666786424025,5
26,0,1,21.0,0.7277866028588933,5
27,0,1,22.0,0.7120473028853598,5
28,0,1,23.0,0.6965465935281867,5
29,0,1,24.0,0.6813777995660395,5
30,0,1,25.0,0.6666280770505308,5
31,0,1,26.0,0.6523769252434016,5
32,0,1,27.0,0.6386949310714718,5
33,0,1,28.0,0.6256427781227581,5
34,0,1,29.0,0.6132705412560755,5
35,0,1,30.0,0.601617276432683,5
36,0,1,31.0,0.590710903989913,5
37,0,1,32.0,0.5805683728216986,5
38,0,1,33.0,0.5711960833056319,5
39,0,1,34.0,0.5625905387271786,5
40,0,1,35.0,0.5547391886962822,5
41,0,1,36.0,0.547621423806692,5
42,0,1,37.0,0.5412096786080696,5
43,0,1,38.0,0.5354705997826432,5
44,0,2,12.0,0.9941738820179475,10
45,0,2,13.0,0.991906531685369,10
46,0,2,14.0,0.9889218376495937,10
47,0,2,15.0,0.9850572443285672,10
48,0,2,16.0,0.980135369361999,10
49,0,2,17.0,0.9739697010838734,10
50,0,2,18.0,0.9663725189521417,10
51,0,2,19.0,0.9571648917220659,10
52,0,2,20.0,0.946188345010117,10
53,0,2,21.0,0.9333175152811563,10
54,0,2,22.0,0.9184728579709822,10
55,0,2,23.0,0.9016322941966056,10
56,0,2,24.0,0.882840601700745,10
57,0,2,25.0,0.8622154101621224,10
58,0,2,26.0,0.8399488614214647,10
59,0,2,27.0,0.8163043333449211,10
60,0,2,28.0,0.7916080716101519,10
61,0,2,29.0,0.7662360767279087,10
62,0,2,30.0,0.7405970911256259,10
63,0,2,31.0,0.7151129565725269,10
64,0,2,32.0,0.6901979062938177,10
65,0,2,33.0,0.6662384767539433,10
66,0,2,34.0,0.6435756538178979,10
67,0,2,35.0,0.6224906170152056,10
68,0,2,36.0,0.6031950499849231,10
69,0,2,37.0,0.5858265004897695,10
70,0,2,38.0,0.5704487653358132,10
71,0,2,39.0,0.5570568090672815,10
72,0,2,40.0,0.5455853546175224,10
73,0,2,41.0,0.5359200451954511,10
74,0,2,42.0,0.5279099836953135,10
75,0,3,12.0,0.9999997797907266,15
76,0,3,13.0,0.9999994920575173,15
77,0,3,14.0,0.9999986630232696,15
78,0,3,15.0,0.9999963887919014,15
79,0,3,16.0,0.9999904489222591,15
80,0,3,17.0,0.9999756782703365,15
81,0,3,18.0,0.9999407076557739,15
82,0,3,19.0,0.9998618782836067,15
83,0,3,20.0,0.9996926961852406,15
84,0,3,21.0,0.9993469936226411,15
85,0,3,22.0,0.9986744306720872,15
